,"Tuesday, 12/05/2023","Wednesday, 12/06/2023","Thursday, 12/07/2023","Friday, 12/08/2023","Saturday, 12/09/2023","Sunday, 12/10/2023","Monday, 12/11/2023","Tuesday, 12/12/2023","Wednesday, 12/13/2023","Thursday, 12/14/2023","Friday, 12/15/2023","Saturday, 12/16/2023","Sunday, 12/17/2023","Monday, 12/18/2023"
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,4,7,-1
8,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,4,7,-1
9,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,4,4,-1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,-1
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,0,0,-1,0,-1,-1,-1,4,5,-1,4,-1,-1,-1
17,-1,-1,0,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,4
18,1,-1,-1,2,-1,-1,-1,-1,-1,-1,6,-1,-1,-1
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
